[ -1  -3  -1  -1  -2 ]	23/-9
[ 1  3  1  1  1  1  0 ]	14/23
[ -1  -3  -1  -1  -1  -1  0 ]	14/-23
[ 1  2  5 ]	16/3
[ -1  -2  -5 ]	16/-3
[ 1  2  4  1  0 ]	13/16
[ -1  -2  -4  -1  0 ]	13/-16
[ 1  2  3  2  0 ]	10/23
[ -1  -2  -3  -2  0 ]	10/-23
[ 1  2  3  1  1 ]	23/13
[ -1  -2  -3  -1  -1 ]	23/-13
[ 1  2  2  3  0 ]	7/24
[ -1  -2  -2  -3  0 ]	7/-24
[ 1  2  2  2  1 ]	24/17
[ -1  -2  -2  -2  -1 ]	24/-17
[ 1  2  2  1  2 ]	27/10
[ -1  -2  -2  -1  -2 ]	27/-10
[ 1  2  2  1  1  1  0 ]	17/27
[ -1  -2  -2  -1  -1  -1  0 ]	17/-27
[ 1  2  1  4  0 ]	4/19
[ -1  -2  -1  -4  0 ]	4/-19
[ 1  2  1  3  1 ]	19/15
[ -1  -2  -1  -3  -1 ]	19/-15
[ 1  2  1  2  2 ]	26/11
[ -1  -2  -1  -2  -2 ]	26/-11
[ 1  2  1  2  1  1  0 ]	15/26
[ -1  -2  -1  -2  -1  -1  0 ]	15/-26
[ 1  2  1  1  3 ]	25/7
[ -1  -2  -1  -1  -3 ]	25/-7
[ 1  2  1  1  2  1  0 ]	18/25
[ -1  -2  -1  -1  -2  -1  0 ]	18/-25
[ 1  2  1  1  1  2  0 ]	11/29
[ -1  -2  -1  -1  -1  -2  0 ]	11/-29
[ 1  2  1  1  1  1  1 ]	29/18
[ -1  -2  -1  -1  -1  -1  -1 ]	29/-18
[ 1  1  6 ]	13/2
[ -1  -1  -6 ]	13/-2
[ 1  1  5  1  0 ]	11/13
[ -1  -1  -5  -1  0 ]	11/-13
[ 1  1  4  2  0 ]	9/20
[ -1  -1  -4  -2  0 ]	9/-20
[ 1  1  4  1  1 ]	20/11
[ -1  -1  -4  -1  -1 ]	20/-11
[ 1  1  3  3  0 ]	7/23
[ -1  -1  -3  -3  0 ]	7/-23
[ 1  1  3  2  1 ]	23/16
[ -1  -1  -3  -2  -1 ]	23/-16
[ 1  1  3  1  2 ]	25/9
[ -1  -1  -3  -1  -2 ]	25/-9
